Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Vainglory,16/11/2014,Super Evil Megacorp,Super Evil Megacorp,MOBA,Not Rated,8.8,131,iOS (iPhone/iPad)
Rave Master: Special Attack Force!,8/3/2005,KCEJ,Konami,2D Fighting,Rated T For Teen,6.894852313,,Game Boy Advance
Sumioni: Demon Arts,20/3/2012,Acquire,XSEED Games,RPG,Rated E +10 For Everyone +10,6.1,14,PlayStation Vita
Ikaruga,15/4/2003,Treasure,Atari SA,Vertical Shoot-'Em-Up,Rated E For Everyone,8.1,35,Xbox 360
Trials Fusion,15/4/2014,RedLynx,Ubisoft,Auto Racing,Rated E +10 For Everyone +10,7,314,Xbox 360
Destiny 2: The Witch Queen,22/2/2022,Bungie,Bungie,FPS,Not Rated,8,155,PC
Inazuma Eleven Go: Chrono Stones - Thunderflash,13/12/2012,Level 5,Level 5,Soccer,Not Rated,8.4,38,3DS
BurgerTime Party!,8/10/2019,G-mode,XSEED Games,Arcade,Rated E For Everyone,6,9,Nintendo Switch
Every Extend Extra,7/11/2006,Q Entertainment,Buena Vista Games,Top-Down Shoot-'Em-Up,Rated E For Everyone,6.3,8,PSP
EarthNight,3/12/2019,cleaversoft,cleaversoft,2D Platformer,Rated E +10 For Everyone +10,7.2,20,PlayStation 4
Cross Edge,26/5/2009,Compile Heart,NIS America,JRPG,Rated T For Teen,5.7,31,PlayStation 3
Chicago Enforcer,22/2/2005,Touchdown Entertainment,Kemco,FPS,Rated M For Mature,6.894852313,,Xbox
Autonauts,17/10/2019,Denki,Curve Digital,Management,Not Rated,7.8,13,PC
ATV Offroad Fury: Blazin' Trails,19/4/2005,Climax Studios,SCEA,Auto Racing Sim,Rated E For Everyone,6,,PSP
Deadly Dozen,31/10/2001,Nfusion,Infogrames,Tactical Third Person Shooter,Rated T For Teen,5.3,6,PC
Kirby: Nightmare in Dream Land,2/12/2002,HAL Labs,Nintendo,2D Platformer,Rated E For Everyone,8.4,95,Game Boy Advance
Pure Pinball,5/8/2004,Iridon Interactive AB,XS Games,Pinball,Rated E For Everyone,6.894852313,,Xbox
Magician's Quest: Mysterious Times,11/5/2009,Aquria,Konami,Virtual Life,Rated E +10 For Everyone +10,6.7,6,DS
